Country,Index,Ranking,Change,Continent
Afghanistan,3.585,162,0,Asia
Albania,1.849,52,-5,Europa
Algeria,2.182,109,0,Africa
Angola,2.048,83,-17,Africa
Argentina,1.947,66,11,America
Armenia,2.287,120,8,Asia
Australia,1.435,13,1,Oceania
Austria,1.274,3,-1,Europa
Azerbaijan,2.454,132,0,Asia
Bahrain,2.437,130,-1,Asia
Bangladesh,2.084,93,9,Asia
Belarus,2.112,101,-2,Europa
Belgium,1.560,21,2,Europa
Benin,1.973,69,-10,Africa
Bhutan,1.545,19,6,Asia
Bolivia,2.092,94,8,America
Bosnia and Herzegovina,2.065,89,5,Europa
Botswana,1.659,29,2,Africa
Brazil,2.160,106,-2,America
Bulgaria,1.635,26,-2,Europa
Burkina Faso,2.029,80,-11,Africa
Burma - Myanmar,2.302,122,18,Asia
Burundi,2.488,134,-7,Africa
Cambodia,2.101,96,7,Asia
Cameroon,2.484,133,3,Africa
Canada,1.372,6,-2,America
Central African Republic,3.236,155,0,Africa
Chad,2.498,135,0,Africa
Chile,1.649,28,4,America
China,2.243,112,-4,Asia
Colombia,2.729,145,-1,America
Costa Rica,1.767,40,6,America
Croatia,1.639,27,-4,Europa
Cuba,2.037,81,-7,America
Cyprus,1.913,62,-2,Europa
Czech Republic,1.381,7,1,Europa
Democratic Republic of the Congo,3.251,156,3,Africa
Denmark,1.353,5,0,Europa
Djibouti,2.269,115,8,Africa
Dominican Republic,2.073,91,-8,America
Ecuador,1.987,75,9,America
Egypt,2.632,142,3,Africa
El Salvador,2.275,116,1,America
Equatorial Guinea,1.946,65,4,Africa
Eritrea,2.522,138,2,Africa
Estonia,1.732,33,-3,Europa
Ethiopia,2.524,139,5,Africa
Finland,1.506,15,-2,Europa
France,1.909,61,10,Europa
Gabon,2.099,95,8,Africa
Georgia,2.130,102,8,Europa
Germany,1.531,17,1,Europa
Ghana,1.772,41,-2,Africa
Greece,2.020,79,6,Europa
Guatemala,2.214,111,-6,America
Guinea,2.101,96,0,Africa
Guinea-Bissau,2.275,116,-6,Africa
Guyana,2.043,82,1,America
Haiti,2.064,88,5,America
Honduras,2.282,118,12,America
Hungary,1.531,17,2,Europa
Iceland,1.096,1,0,Europa
India,2.504,136,-1,Asia
Indonesia,1.853,55,3,Asia
Iran,2.439,131,2,Asia
Iraq,3.425,160,-1,Asia
Ireland,1.393,10,0,Europa
Israel,2.764,146,2,Asia
Italy,1.766,38,0,Europa
Ivory Coast,2.207,110,-11,Africa
Jamaica,2.068,90,-2,America
Japan,1.391,9,-1,Asia
Jordan,2.104,98,3,Asia
Kazakhstan,1.974,70,-2,Asia
Kenya,2.354,123,-2,Africa
Kuwait,1.799,42,-16,Asia
Kyrgyzstan,2.181,108,-3,Asia
Laos,1.821,46,1,Asia
Latvia,1.689,31,-1,Europa
Lebanon,2.778,147,-1,Asia
Lesotho,2.144,104,14,Africa
Liberia,1.931,63,-19,Africa
Libya,3.262,157,0,Africa
Lithuania,1.749,36,-1,Europa
Madagascar,1.766,38,-6,Africa
Malawi,1.811,44,-4,Africa
Malaysia,1.619,25,-4,Asia
Mali,2.686,144,4,Africa
Mauritania,2.355,127,-1,Africa
Mauritius,1.548,20,-2,Africa
Mexico,2.583,140,-2,America
Moldova,1.939,64,2,Europa
Mongolia,1.821,46,0,Asia
Montenegro,1.893,58,-9,Europa
Morocco,1.979,71,-4,Africa
Mozambique,2.056,86,8,Africa
Namibia,1.806,43,-7,Africa
Nepal,2.053,84,-9,Asia
Netherlands,1.574,23,4,Europa
New Zealand,1.192,2,0,Oceania
Nicaragua,1.960,68,-6,America
Niger,2.359,128,2,Africa
Nigeria,2.873,148,-1,Africa
North Korea,2.950,150,0,Asia
Norway,1.519,16,2,Europa
Oman,1.984,73,3,Asia
Pakistan,3.079,151,-1,Africa
Panama,1.826,50,1,America
Papua New Guinea,2.109,100,3,Oceania
Paraguay,1.997,77,9,America
Peru,1.986,74,3,Africa
Philippines,2.512,137,-1,Asia
Poland,1.727,32,-1,Europa
